Date,Price,Open,High,Low,Vol.,Change %
2023-09-04,146.46,146.2,146.54,146.01,,0.16%
2023-09-05,147.71,146.49,147.82,146.39,,0.85%
2023-09-06,147.65,147.74,147.82,147.01,,-0.04%
2023-09-07,147.29,147.66,147.88,147.04,,-0.24%
2023-09-08,147.81,147.3,147.88,146.58,,0.35%
2023-09-11,146.58,147.02,147.28,145.9,,-0.83%
2023-09-12,147.08,146.59,147.26,146.45,,0.34%
2023-09-13,147.45,147.07,147.74,147.01,,0.25%
2023-09-14,147.47,147.45,147.58,147.01,,0.01%
2023-09-15,147.82,147.49,147.99,147.34,,0.24%
2023-09-18,147.6,147.74,147.88,147.56,,-0.15%
2023-09-19,147.86,147.61,147.98,147.5,,0.18%
2023-09-20,148.33,147.85,148.37,147.47,,0.32%
2023-09-21,147.58,148.33,148.46,147.32,,-0.51%
2023-09-22,148.37,147.57,148.45,147.51,,0.54%
2023-09-25,148.88,148.37,149,148.25,,0.34%
2023-09-26,149.05,148.92,149.22,148.7,,0.11%
2023-09-27,149.63,149.06,149.75,148.86,,0.39%
2023-09-28,149.29,149.64,149.64,149.14,,-0.23%
2023-09-29,149.35,149.31,149.52,148.52,,0.04%
2023-10-02,149.85,149.48,149.93,149.45,,0.33%
2023-10-03,149.02,149.87,150.19,147.39,,-0.55%
2023-10-04,149.12,149.02,149.33,148.73,,0.07%
2023-10-05,148.5,149.12,149.14,148.26,,-0.42%
2023-10-06,149.32,148.51,149.55,148.35,,0.55%
2023-10-09,148.5,149.07,149.25,148.43,,-0.55%
2023-10-10,148.7,148.56,149.14,148.16,,0.13%
2023-10-11,149.15,148.71,149.37,148.42,,0.30%
2023-10-12,149.8,149.17,149.89,148.95,,0.44%
2023-10-13,149.55,149.8,149.83,149.45,,-0.17%
2023-10-16,149.5,149.49,149.79,149.35,,-0.03%
2023-10-17,149.8,149.51,149.92,149.23,,0.20%
2023-10-18,149.92,149.82,149.99,149.49,,0.08%
2023-10-19,149.78,149.94,150.01,149.66,,-0.09%
2023-10-20,149.84,149.78,150.06,149.74,,0.04%
2023-10-23,149.7,149.8,150.01,149.55,,-0.09%
2023-10-24,149.91,149.72,149.94,149.32,,0.14%
2023-10-25,150.21,149.91,150.32,149.79,,0.20%
2023-10-26,150.38,150.2,150.79,149.89,,0.11%
2023-10-27,149.6,150.38,150.43,149.46,,-0.52%
2023-10-30,149.1,149.54,149.93,148.8,,-0.33%
2023-10-31,151.67,149.11,151.76,149.02,,1.72%
2023-11-01,150.95,151.72,151.72,150.66,,-0.47%
2023-11-02,150.44,150.95,150.98,149.84,,-0.34%
2023-11-03,149.37,150.46,150.53,149.2,,-0.71%
2023-11-06,150.07,149.38,150.09,149.24,,0.47%
2023-11-07,150.34,150.07,150.7,149.93,,0.18%
2023-11-08,150.97,150.36,151.07,150.34,,0.42%
2023-11-09,151.34,150.97,151.4,150.77,,0.25%
2023-11-10,151.5,151.35,151.62,151.21,,0.11%
2023-11-13,151.71,151.51,151.95,151.2,,0.14%
2023-11-14,150.38,151.73,151.82,150.15,,-0.88%
2023-11-15,151.35,150.37,151.47,150.05,,0.65%
2023-11-16,150.71,151.35,151.5,150.28,,-0.42%
2023-11-17,149.62,150.7,150.79,149.2,,-0.72%
2023-11-20,148.36,149.64,150,148.1,,-0.84%
2023-11-21,148.39,148.38,148.61,147.15,,0.02%
2023-11-22,149.53,148.4,149.76,148.01,,0.77%
2023-11-23,149.56,149.54,149.7,148.89,,0.02%
2023-11-24,149.44,149.57,149.72,149.2,,-0.08%
2023-11-27,148.67,149.45,149.68,148.54,,-0.52%
2023-11-28,147.48,148.68,148.85,147.32,,-0.80%
2023-11-29,147.24,147.48,147.92,146.67,,-0.16%
2023-11-30,148.19,147.25,148.51,146.83,,0.65%
2023-12-01,146.81,148.2,148.35,146.66,,-0.93%
2023-12-04,147.2,146.73,147.51,146.23,,0.27%
2023-12-05,147.15,147.18,147.41,146.56,,-0.03%
2023-12-06,147.31,147.19,147.53,146.89,,0.11%
2023-12-07,144.12,147.3,147.32,141.71,,-2.17%
2023-12-08,144.93,144.11,145.22,142.5,,0.56%
2023-12-11,146.16,144.86,146.59,144.81,,0.85%
2023-12-12,145.43,146.13,146.2,144.74,,-0.50%
2023-12-13,142.88,145.45,146.01,142.64,,-1.75%
2023-12-14,141.87,142.89,142.9,140.96,,-0.71%
2023-12-15,142.15,141.87,142.47,141.43,,0.20%
2023-12-18,142.74,142.14,143.17,142.07,,0.42%
2023-12-19,143.82,142.82,144.97,142.25,,0.76%
2023-12-20,143.56,143.83,144.1,143.26,,-0.18%
2023-12-21,142.1,143.57,143.58,142.04,,-1.02%
2023-12-22,142.41,142.12,142.68,141.88,,0.22%
2023-12-25,142.34,142.4,142.56,142.13,,-0.05%
2023-12-26,142.38,142.32,142.64,142.09,,0.03%
2023-12-27,141.83,142.39,142.85,141.55,,-0.39%
2023-12-28,141.39,141.83,141.83,140.25,,-0.31%
2023-12-29,141.06,141.4,141.92,140.8,,-0.23%
2024-01-01,140.87,140.83,140.9,140.83,,-0.13%
2024-01-02,141.98,140.88,142.23,140.81,,0.79%
2024-01-03,143.29,142,143.75,141.86,,0.92%
2024-01-04,144.62,143.3,144.87,142.85,,0.93%
2024-01-05,144.65,144.63,145.99,143.81,,0.02%
2024-01-08,144.22,144.6,144.93,143.66,,-0.30%
2024-01-09,144.47,144.27,144.64,143.42,,0.17%
2024-01-10,145.73,144.48,145.86,144.32,,0.87%
2024-01-11,145.28,145.75,146.43,145.26,,-0.31%
2024-01-12,144.9,145.29,145.57,144.36,,-0.26%
2024-01-15,145.73,144.92,145.96,144.87,,0.57%
2024-01-16,147.18,145.74,147.33,145.58,,0.99%
2024-01-17,148.15,147.2,148.54,147.07,,0.66%
2024-01-18,148.15,148.15,148.32,147.65,,0.00%
2024-01-19,148.14,148.13,148.82,147.84,,-0.01%
2024-01-22,148.09,148.28,148.32,147.62,,-0.03%
2024-01-23,148.36,148.1,148.73,146.99,,0.18%
2024-01-24,147.5,148.36,148.4,146.65,,-0.58%
2024-01-25,147.65,147.51,147.94,147.08,,0.10%
2024-01-26,148.16,147.63,148.23,147.42,,0.35%
2024-01-29,147.49,148.12,148.34,147.25,,-0.45%
2024-01-30,147.6,147.51,147.95,147.1,,0.07%
2024-01-31,146.88,147.61,147.91,146.01,,-0.49%
2024-02-01,146.42,146.89,147.13,145.89,,-0.31%
2024-02-02,148.37,146.44,148.6,146.24,,1.33%
2024-02-05,148.67,148.36,148.92,148.26,,0.20%
2024-02-06,147.94,148.67,148.84,147.82,,-0.49%
2024-02-07,148.18,147.95,148.3,147.64,,0.16%
2024-02-08,149.31,148.19,149.51,147.93,,0.76%
2024-02-09,149.3,149.33,149.6,149.01,,-0.01%
2024-02-12,149.34,149.25,149.49,148.93,,0.03%
2024-02-13,150.79,149.35,150.9,149.26,,0.97%
2024-02-14,150.55,150.79,150.82,150.35,,-0.16%
2024-02-15,149.91,150.57,150.6,149.54,,-0.43%
2024-02-16,150.21,149.93,150.65,149.82,,0.20%
2024-02-19,150.11,150.1,150.24,149.87,,-0.07%
2024-02-20,149.99,150.13,150.45,149.68,,-0.08%
2024-02-21,150.28,150.01,150.41,149.85,,0.19%
2024-02-22,150.51,150.31,150.7,150.01,,0.15%
2024-02-23,150.5,150.54,150.79,150.3,,-0.01%
2024-02-26,150.69,150.48,150.85,150.29,,0.13%
2024-02-27,150.5,150.7,150.72,150.07,,-0.13%
2024-02-28,150.67,150.51,150.85,150.37,,0.11%
2024-02-29,149.98,150.7,150.7,149.2,,-0.46%
2024-03-01,150.11,149.98,150.73,149.95,,0.09%
2024-03-04,150.51,150.11,150.64,149.83,,0.27%
2024-03-05,150.04,150.52,150.64,149.7,,-0.31%
2024-03-06,149.37,150.04,150.1,149.09,,-0.45%
2024-03-07,148.03,149.36,149.4,147.58,,-0.90%
2024-03-08,147.07,148.04,148.12,146.48,,-0.65%
2024-03-11,146.94,147.07,147.18,146.48,,-0.09%
2024-03-12,147.68,146.95,148.15,146.62,,0.50%
2024-03-13,147.74,147.7,148.06,147.23,,0.04%
2024-03-14,148.32,147.76,148.37,147.43,,0.39%
2024-03-15,149.02,148.36,149.2,148.03,,0.47%
2024-03-18,149.14,149.01,149.33,148.9,,0.08%
2024-03-19,150.85,149.16,150.97,149.03,,1.15%
2024-03-20,151.25,150.89,151.88,150.73,,0.27%
2024-03-21,151.61,151.26,151.81,150.26,,0.24%
2024-03-22,151.42,151.64,151.87,151,,-0.13%
2024-03-25,151.41,151.44,151.55,151.04,,-0.01%
2024-03-26,151.55,151.42,151.62,151.2,,0.09%
2024-03-27,151.32,151.57,151.98,151.03,,-0.15%
2024-03-28,151.37,151.32,151.56,151.15,,0.03%
2024-03-29,151.31,151.38,151.51,151.17,,-0.04%
2024-04-01,151.63,151.32,151.78,151.22,,0.21%
2024-04-02,151.55,151.65,151.82,151.46,,-0.05%
2024-04-03,151.68,151.56,151.96,151.44,,0.09%
2024-04-04,151.33,151.7,151.79,151.12,,-0.23%
2024-04-05,151.61,151.35,151.76,150.81,,0.19%
