Date,Price,Open,High,Low,Vol.,Change %
2023-08-18,9.2096,9.1852,9.2552,9.1524,,0.30%
2023-08-21,9.1597,9.2212,9.25,9.1573,,-0.54%
2023-08-22,9.1831,9.1709,9.1962,9.1422,,0.26%
2023-08-23,9.1566,9.1906,9.2402,9.155,,-0.29%
2023-08-24,9.1008,9.1679,9.1937,9.0616,,-0.61%
2023-08-25,9.038,9.1089,9.1186,9.0336,,-0.69%
2023-08-28,9.0332,9.0458,9.0636,9.006,,-0.05%
2023-08-29,9.0346,9.0359,9.0612,9.0056,,0.02%
2023-08-30,9.0483,9.0387,9.0764,9.0277,,0.15%
2023-08-31,9.1037,9.0513,9.1211,9.0365,,0.61%
2023-09-01,9.0083,9.1069,9.1175,9.0095,,-1.05%
2023-09-04,8.9942,9.0182,9.0492,8.9905,,-0.16%
2023-09-05,8.9965,9.0021,9.0915,8.988,,0.03%
2023-09-06,9.0308,9.0023,9.0572,8.9999,,0.38%
2023-09-07,9.0526,9.0378,9.0917,9.0154,,0.24%
2023-09-08,9.031,9.0619,9.1022,9.0286,,-0.24%
2023-09-11,9.0415,9.0903,9.1255,9.0423,,0.12%
2023-09-12,9.0159,9.0482,9.064,9.0089,,-0.28%
2023-09-13,8.9957,9.0222,9.0365,8.9832,,-0.22%
2023-09-14,9.0149,9.0055,9.0392,8.9832,,0.21%
2023-09-15,8.9846,9.018,9.0295,8.9672,,-0.34%
2023-09-18,8.9661,8.9981,8.9996,8.9596,,-0.21%
2023-09-19,8.9851,8.9702,8.9972,8.9369,,0.21%
2023-09-20,8.9856,8.9879,9.0107,8.9539,,0.01%
2023-09-21,9.0712,8.9884,9.1134,8.9802,,0.95%
2023-09-22,8.99,9.076,9.0932,8.9751,,-0.90%
2023-09-25,8.9866,9.0012,9.0234,8.965,,-0.04%
2023-09-26,9.0735,8.9947,9.0951,8.9858,,0.97%
2023-09-27,9.052,9.0838,9.1023,9.0393,,-0.24%
2023-09-28,9.038,9.0614,9.0933,9.0279,,-0.15%
2023-09-29,9.0487,9.046,9.0643,8.9994,,0.12%
2023-10-02,9.0468,9.0474,9.0769,9.0172,,-0.02%
2023-10-03,9.1323,9.0562,9.2484,9.0409,,0.95%
2023-10-04,9.0633,9.1394,9.1515,9.0633,,-0.76%
2023-10-05,9.0609,9.0684,9.1066,9.0553,,-0.03%
2023-10-06,9.0031,9.0657,9.0894,8.9946,,-0.64%
2023-10-09,9.0698,9.0201,9.1013,9.0074,,0.74%
2023-10-10,9.0186,9.0749,9.1005,9.0223,,-0.56%
2023-10-11,8.9718,9.0282,9.0423,8.9667,,-0.52%
2023-10-12,9.0045,8.9813,9.0261,8.9482,,0.36%
2023-10-13,9.0406,9.0077,9.0552,8.9954,,0.40%
2023-10-16,9.0146,9.0518,9.0732,9.012,,-0.29%
2023-10-17,9.0301,9.0179,9.0727,9.0041,,0.17%
2023-10-18,9.0293,9.0347,9.067,9.0045,,-0.01%
2023-10-19,9.0528,9.0396,9.082,9.0277,,0.26%
2023-10-20,9.0017,9.0605,9.0762,8.9974,,-0.56%
2023-10-23,8.9636,9.0147,9.0396,8.9673,,-0.42%
2023-10-24,8.964,8.9736,9.0005,8.9619,,0.00%
2023-10-25,9.0007,8.9674,9.0288,8.9622,,0.41%
2023-10-26,8.9934,9.007,9.0736,8.993,,-0.08%
2023-10-27,9.0551,9.0001,9.0828,8.9725,,0.69%
2023-10-30,9.0232,9.0696,9.0727,8.997,,-0.35%
2023-10-31,8.9133,9.0299,9.0455,8.906,,-1.22%
2023-11-01,8.9277,8.919,8.993,8.9124,,0.16%
2023-11-02,8.864,8.935,8.962,8.8406,,-0.71%
2023-11-03,8.7554,8.8693,8.8862,8.7307,,-1.23%
2023-11-06,8.6501,8.7681,8.781,8.6398,,-1.20%
2023-11-07,8.674,8.6578,8.7268,8.6562,,0.28%
2023-11-08,8.6609,8.6786,8.7241,8.6303,,-0.15%
2023-11-09,8.7014,8.6708,8.7149,8.6301,,0.47%
2023-11-10,8.6881,8.71,8.731,8.6849,,-0.15%
2023-11-13,8.6938,8.6967,8.7585,8.6927,,0.07%
2023-11-14,8.6751,8.6965,8.7738,8.6415,,-0.22%
2023-11-15,8.6181,8.6784,8.6884,8.6067,,-0.66%
2023-11-16,8.5733,8.6223,8.6679,8.5077,,-0.52%
2023-11-17,8.6492,8.5774,8.6682,8.5703,,0.89%
2023-11-20,8.6726,8.6581,8.7292,8.6332,,0.27%
2023-11-21,8.7226,8.6834,8.7659,8.6703,,0.58%
2023-11-22,8.6982,8.7333,8.7607,8.6943,,-0.28%
2023-11-23,8.6929,8.6997,8.7249,8.6849,,-0.06%
2023-11-24,8.7184,8.7001,8.7612,8.6693,,0.29%
2023-11-27,8.7219,8.7253,8.7857,8.704,,0.04%
2023-11-28,8.7271,8.7329,8.758,8.7038,,0.06%
2023-11-29,8.7686,8.7328,8.7841,8.729,,0.48%
2023-11-30,8.767,8.7692,8.8251,8.7496,,-0.02%
2023-12-01,8.8082,8.7775,8.8705,8.7721,,0.47%
2023-12-04,8.8965,8.8249,8.9239,8.8216,,1.00%
2023-12-05,8.9215,8.9031,8.9828,8.8856,,0.28%
2023-12-06,8.934,8.9276,8.9503,8.9016,,0.14%
2023-12-07,9.1177,8.934,9.2605,8.9268,,2.06%
2023-12-08,9.0812,9.1184,9.1744,9.0259,,-0.40%
2023-12-11,9.0049,9.0975,9.1006,8.9941,,-0.84%
2023-12-12,9.0121,9.0085,9.0587,8.9925,,0.08%
2023-12-13,9.2172,9.0221,9.2283,9.0139,,2.28%
2023-12-14,9.082,9.2277,9.28,9.0661,,-1.47%
2023-12-15,9.1462,9.0918,9.1967,9.0537,,0.71%
2023-12-18,9.1252,9.159,9.1625,9.0949,,-0.23%
2023-12-19,9.0387,9.1309,9.1794,9.0178,,-0.95%
2023-12-20,9.075,9.044,9.0938,9.0157,,0.40%
2023-12-21,9.1104,9.084,9.1486,9.0715,,0.39%
2023-12-22,9.1073,9.1219,9.1629,9.1001,,-0.03%
2023-12-25,9.099,9.1169,9.1348,9.0998,,-0.09%
2023-12-26,9.0864,9.1067,9.1414,9.0798,,-0.14%
2023-12-27,9.1144,9.0983,9.142,9.0468,,0.31%
2023-12-28,9.115,9.1246,9.1742,9.0982,,0.01%
2023-12-29,9.1756,9.1207,9.2142,9.0697,,0.66%
2024-01-01,9.1812,9.1787,9.1919,9.1769,,0.06%
2024-01-02,9.2353,9.189,9.269,9.1439,,0.59%
2024-01-03,9.1382,9.2401,9.2479,9.1178,,-1.05%
2024-01-04,9.0776,9.1448,9.1741,9.0647,,-0.66%
2024-01-05,9.0845,9.0892,9.1173,9.0307,,0.08%
2024-01-08,9.095,9.094,9.1505,9.0698,,0.12%
2024-01-09,9.1361,9.0975,9.1878,9.0911,,0.45%
2024-01-10,9.048,9.1403,9.1502,9.0438,,-0.96%
