Date,Price,Open,High,Low,Vol.,Change %
2023-11-15,"1,959.09","1,963.05","1,975.59","1,955.41",,-0.18%
2023-11-16,"1,980.85","1,959.44","1,988.03","1,956.49",,1.11%
2023-11-17,"1,980.01","1,981.21","1,993.94","1,978.59",,-0.04%
2023-11-20,"1,977.19","1,980.39","1,985.26","1,965.20",,-0.14%
2023-11-21,"1,998.37","1,977.49","2,007.52","1,977.34",,1.07%
2023-11-22,"1,989.72","1,998.69","2,006.90","1,986.89",,-0.43%
2023-11-23,"1,991.79","1,990.15","1,999.19","1,989.01",,0.10%
2023-11-24,"2,001.97","1,994.06","2,003.68","1,991.40",,0.51%
2023-11-27,"2,013.64","2,002.78","2,018.14","2,000.67",,0.58%
2023-11-28,"2,040.89","2,013.94","2,043.00","2,011.60",,1.35%
2023-11-29,"2,044.59","2,041.24","2,052.09","2,035.05",,0.18%
2023-11-30,"2,035.75","2,044.80","2,047.59","2,031.84",,-0.43%
2023-12-01,"2,070.90","2,034.49","2,075.34","2,033.75",,1.73%
2023-12-04,"2,029.74","2,071.25","2,135.90","2,020.34",,-1.99%
2023-12-05,"2,019.42","2,030.15","2,041.33","2,010.02",,-0.51%
2023-12-06,"2,024.90","2,019.74","2,036.30","2,017.27",,0.27%
2023-12-07,"2,028.34","2,025.30","2,039.93","2,020.26",,0.17%
2023-12-08,"2,003.39","2,028.69","2,034.19","1,994.74",,-1.23%
2023-12-11,"1,981.30","2,003.60","2,008.72","1,975.95",,-1.10%
2023-12-12,"1,979.44","1,981.59","1,996.80","1,977.19",,-0.09%
2023-12-13,"2,026.39","1,979.74","2,027.55","1,973.09",,2.37%
2023-12-14,"2,035.53","2,026.59","2,047.98","2,024.33",,0.45%
2023-12-15,"2,018.19","2,035.80","2,045.55","2,015.68",,-0.85%
2023-12-18,"2,027.00","2,020.09","2,033.71","2,015.99",,0.44%
2023-12-19,"2,040.12","2,027.30","2,047.07","2,021.74",,0.65%
2023-12-20,"2,029.19","2,040.34","2,043.94","2,029.37",,-0.54%
2023-12-21,"2,045.49","2,029.44","2,046.07","2,029.44",,0.80%
